participant,interface,taskType,task,time_s,response,accuracy
1,touch,composition,Gutt Båt Katt,9.02,Gutten liker katt og båt,
1,touch,composition,Eple Lege Hus,12.56,Rødt eple lege og fint hus,
1,touch,composition,Kvinne Fly Baby,10.33,Kvinne med oransje blazer ett fly og baby,
1,touch,composition,Mann Hund Bil,8.48,Mann i dress fint hus og bil,
1,touch,composition,Jente Sykkel Tre,7.12,Jente en sykkel og tre,
1,touch,composition,Lærer Bok Klasserom,18.04,Lærer som underviser bok og klasserom,
1,touch,composition,Kokk Pizza Kjøkken,8.01,Kokken liker pizza som han baker i kjøkkenet,
1,touch,composition,Brannmann Brannbil Ild,20.04,Brannmannen kjører fort i brannbil for å slukke ild,
1,touch,composition,Politimann Bil Vei,7.09,Politimann bil og vei,
1,touch,composition,Student Laptop Kaffe,8.66,Student bruker laptop og drikker kaffe,
1,touch,transcription,Gutten tar med katten sin på båten.,7.55,Gutten tar med katten sin på båten,97.14
1,touch,transcription,Legen spiser et eple før han drar hjem.,12.58,Legen spiser et eple før han drar hjem,97.44
1,touch,transcription,Kvinnen flyr med babyen sin på flyet.,8.71,Kvinnen flyr med babyen sin på flyet,97.30
1,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,104.91,Mannen kjører bilen sin mens hunden ser ut av vinduet,98.15
1,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,14.83,Jenta sykler gjennom skogen ved et stort tre,97.78
1,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,12.63,Læreren holder en bok foran klsssen i klasserommet,96.08
1,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,7.58,Kokken lager pizza på kjøkkenet sitt,97.30
1,touch,transcription,Brannmannen slukker ild med en brannbil.,7.48,Brannmannen slukker ild med en brannbil,97.50
1,touch,transcription,Politimannen patruljerer veien i bilen sin.,8.81,Politimannen patruljerer veien i bilen sin,97.67
1,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,13.08,Studenten jobber på laptopen sin med en kopp kaffe ved siden av,98.44
1,touch,paragraph,Svarte hull,43.77,Et svart hull er ett sted i verdensrommet med ekstremt tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut,97.76
1,touch,paragraph,Livet i rommet,1.90,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,100.00
1,touch,paragraph,Første menneske i rommet,22.16,Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,100.00
1,touch,questionnaire,q1:5 q2:1,,Bra,
