participant,interface,taskType,task,time_s,response,accuracy
13,touch,composition,Gutt Båt Katt,6.67,En gutt reiser med en katt på en båt,
13,touch,composition,Eple Lege Hus,7.21,En lege spiser et eple i huset,
13,touch,composition,Kvinne Fly Baby,6.73,En kvinne er i et fly med en baby,
13,touch,composition,Mann Hund Bil,6.99,En mann kjører en bil med en hund,
13,touch,composition,Jente Sykkel Tre,6.08,En jente sykler ved et tre.,
13,touch,composition,Lærer Bok Klasserom,6.27,En lærer har en bok i klasserommet,
13,touch,composition,Kokk Pizza Kjøkken,6.21,En kokk lager pizza på kjøkkenet,
13,touch,composition,Brannmann Brannbil Ild,8.27,En brannmann slukker ild med en brannbil,
13,touch,composition,Politimann Bil Vei,8.88,En politimann kjører en bil på en vei,
13,touch,composition,Student Laptop Kaffe,10.11,En student bruker en laptop og en kaffe,
13,touch,transcription,Gutten tar med katten sin på båten.,8.39,Gutten tar med katten sin på båten.,100.00
13,touch,transcription,Legen spiser et eple før han drar hjem.,7.59,Legen spiser et eple før han drar hjem.,100.00
13,touch,transcription,Kvinnen flyr med babyen sin på flyet.,8.09,Kvinnen flyr med babyen sin på flyet.,100.00
13,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,13.65,Mannen kjører bilen sin mens hunden ser ut av vinduet.,100.00
13,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,10.84,Jenta sykler gjennom skogen ved et stort tre.,100.00
13,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,11.85,Læreren holden en bok foran klassen i klasserommet.,98.04
13,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,13.88,Kokken lager pizza PÅ kjøkkenet sint,94.59
13,touch,transcription,Brannmannen slukker ild med en brannbil.,9.58,Brannmannen slukker ild med en brannbil.,100.00
13,touch,transcription,Politimannen patruljerer veien i bilen sin.,8.43,Politimannen patruljerer veien i bilen sin.,100.00
13,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,18.31,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,100.00
13,touch,paragraph,Svarte hull,33.98,Et svart hull er et sted i verdensrommet med ekstrem tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut.,100.00
13,touch,paragraph,Livet i rommet,34.95,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,100.00
13,touch,paragraph,Første menneske i rommet,44.38,Den første personene i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,99.39
13,touch,questionnaire,q1:4 q2:3,,,
